Epoch,tle_a,tle_e,tle_i,tle_O,tle_omega,tle_m,rk45_a,rk45_e,rk45_i,rk45_O,rk45_omega,rk45_m,a_err,e_err,i_err,O_err,omega_err,m_err,x_tle,y_tle,z_tle,vx_tle,vy_tle,vz_tle,alt_tle,speed_tle,x_rk45,y_rk45,z_rk45,vx_rk45,vy_rk45,vz_rk45,alt_rk45,speed_rk45,x_err,y_err,z_err,alt_err,speed_err
2.46038837574559e+06,7.71088728467132e+03,7.39400273484904e-04,6.60596979842832e+01,1.70538015304460e+02,3.59975462511330e+02,1.50277718148333e+02,7.73836917612974e+03,2.93026519001203e-03,6.61407509009576e+01,1.70456054828818e+02,2.26039237437288e+00,9.73133879564607e+00,2.74818914584239e+01,2.19086491652713e-03,8.10529166743947e-02,8.19604756416084e-02,3.57715070136957e+02,1.40546379352687e+02,3.38837487024006e+03,-3.30692552010130e+03,6.09240027198911e+03,6.36552470821604e+00,4.26830842949512e-01,-3.30526139676028e+00,1.33783966467063e+03,7.18518213271700e+00,2.19880620027872e+02,-3.18704086190435e+03,7.02363273175255e+03,7.11168928478478e+00,-9.12004774677768e-01,-6.32540387148551e-01,1.33802188261915e+03,7.19777636035823e+00,3.16849425021219e+03,1.19884658196959e+02,9.31232459763438e+02,1.82217948521611e-01,1.25942276412330e-02
2.46038837582086e+06,7.71123906428978e+03,7.13507195370199e-04,6.60602185981363e+01,1.70564119346374e+02,3.59979647362331e+02,1.48264915994390e+02,7.73838675047182e+03,2.93422883877823e-03,6.61407167878874e+01,1.70482904538411e+02,2.16898804435612e+00,1.02602524134182e+01,2.71476861820374e+01,2.22072164340804e-03,8.04981897511112e-02,8.12148079627946e-02,3.57810659317975e+02,1.38004663580972e+02,3.57955679061553e+03,-3.29114366880582e+03,5.99087315994336e+03,6.27480974420825e+00,5.15519632478765e-01,-3.46253271406522e+00,1.33791956182101e+03,7.18527178424405e+00,2.67635855654274e+02,-3.19279436747766e+03,7.01938726434564e+03,7.11074610616201e+00,-8.90697003704832e-01,-6.72108821279470e-01,1.33804577429959e+03,7.19776226381148e+00,3.31192093496125e+03,9.83493013281577e+01,1.02851410440228e+03,1.26212478582602e-01,1.24904795674308e-02
2.46038837589612e+06,7.71160086010283e+03,6.87150628917428e-04,6.60607556245894e+01,1.70590259493622e+02,3.59983514305367e+02,1.46119089642997e+02,7.73840549618796e+03,2.93842525290360e-03,6.61406843692447e+01,1.70509754927681e+02,2.08583250426182e+00,1.07873930644989e+01,2.68046360851258e+01,2.25127462398617e-03,7.99287446553620e-02,8.05045659407142e-02,3.57897681801106e+02,1.35331696578498e+02,3.76793425991850e+03,-3.27261809228527e+03,5.88466798673416e+03,6.17911553612117e+00,6.03726051511691e-01,-3.61711323240211e+00,1.33800123633442e+03,7.18536443682757e+00,3.15386959435818e+02,-3.19838658917091e+03,7.01488454542221e+03,7.10952438338971e+00,-8.69357789764743e-01,-7.11652562911093e-01,1.33807094923147e+03,7.19774751536447e+00,3.45254730048268e+03,7.42315031143617e+01,1.13021655868805e+03,6.97128970459744e-02,1.23830785368968e-02
2.46038837597138e+06,7.71197154456912e+03,6.60501124899982e-04,6.60613071951699e+01,1.70616436690327e+02,3.59987097825610e+02,1.43824772829542e+02,7.73842541373804e+03,2.94285284839655e-03,6.61406536386206e+01,1.70536606005432e+02,2.00993305738694e+00,1.13126591286719e+01,2.64538691689186e+01,2.28235172349657e-03,7.93464434507030e-02,7.98306848950858e-02,3.57977164768223e+02,1.32512113700870e+02,3.95335770321596e+03,-3.25136572231250e+03,5.77386729671478e+03,6.07851605178035e+00,6.91376825325823e-01,-3.76888213881686e+00,1.33808448307029e+03,7.18545975443755e+00,3.63131609512422e+02,-3.20381727498436e+03,7.01012478388084e+03,7.10802415124800e+00,-8.47988346251438e-01,-7.51169786487939e-01,1.33809740626022e+03,7.19773211631521e+00,3.59022609370354e+03,4.75484473281444e+01,1.23625748716606e+03,1.29231899309161e-02,1.22723618776686e-02
2.46038837604664e+06,7.71234996219174e+03,6.33741113059095e-04,6.60618713964091e+01,1.70642651600708e+02,3.59990429553305e+02,1.41365026581079e+02,7.73844647653746e+03,2.94750655950366e-03,6.61406245709662e+01,1.70563457791968e+02,1.94044262678223e+00,1.18359698724284e+01,2.60965143457115e+01,2.31376544644457e-03,7.87531745571499e-02,7.91938087403992e-02,3.58049986926522e+02,1.29529056708651e+02,4.13567982264472e+03,-3.22740576450147e+03,5.65855722736229e+03,5.97308916720624e+00,7.78399120468475e-01,-3.91772072146275e+00,1.33816909220514e+03,7.18555739254243e+00,4.10867909010924e+02,-3.20908623735739e+03,7.00510815955011e+03,7.10624543251196e+00,-8.26589719701999e-01,-7.90659029267384e-01,1.33812514442626e+03,7.19771605527588e+00,3.72481191363379e+03,1.83195271440750e+01,1.34655093218782e+03,4.39477788822842e-02,1.21586627334480e-02
2.46038837612191e+06,7.71273493310032e+03,6.07065625808862e-04,6.60624462742743e+01,1.70668905273796e+02,3.59993539872053e+02,1.38721502402289e+02,7.73846867772588e+03,2.95238368937700e-03,6.61405971612018e+01,1.70590310597912e+02,1.87664818054781e+00,1.23572373646046e+01,2.57337446255606e+01,2.34531806356814e-03,7.81508869275598e-02,7.85946758840907e-02,3.58116891691505e+02,1.26364265037685e+02,4.31475575255028e+03,-3.20075963500943e+03,5.53882744473454e+03,5.86291660531232e+00,8.64720674503411e-01,-4.06351246395649e+00,1.33825484984886e+03,7.18565699922355e+00,4.58594639751323e+02,-3.21419336675115e+03,6.99983478561910e+03,7.10418823738919e+00,-8.05162662377451e-01,-8.30119398322873e-01,1.33815416308143e+03,7.19769932968984e+00,3.85616111279896e+03,1.34337317417217e+01,1.46100734088456e+03,1.00686767427760e-01,1.20423304662918e-02
2.46038837619717e+06,7.71312525671246e+03,5.80682926548260e-04,6.60630298426052e+01,1.70695198133375e+02,3.59996459535829e+02,1.35874646071654e+02,7.73849199162504e+03,2.95747912531920e-03,6.61405713811566e+01,1.70617164437111e+02,1.81793326187259e+00,1.28763798091587e+01,2.53667349125826e+01,2.37679619877094e-03,7.75415385514151e-02,7.80336962646686e-02,3.58178526273956e+02,1.22998266262495e+02,4.49044311832117e+03,-3.17145101388538e+03,5.41477107633428e+03,5.74808389317791e+00,9.50269749465653e-01,-4.20614313873642e+00,1.33834153867355e+03,7.18575821631234e+00,5.06309254332883e+02,-3.21913841312509e+03,6.99430492961066e+03,7.10185264027986e+00,-7.83708477757246e-01,-8.69548877149761e-01,1.33818446074591e+03,7.19768192907349e+00,3.98413386398828e+03,4.76873992397050e+01,1.57953385327638e+03,1.57077927642604e-01,1.19237127611509e-02
2.46038837627244e+06,7.71351971546312e+03,5.54814880958072e-04,6.60636200877593e+01,1.70721530649282e+02,3.59999221459418e+02,1.32804111889475e+02,7.73851640493676e+03,2.96278907630281e-03,6.61405472248954e+01,1.70644019287423e+02,1.76377501276570e+00,1.33933057538150e+01,2.49966894736372e+01,2.40797419534474e-03,7.69271371361242e-02,7.75113618588534e-02,3.58235446446652e+02,1.19410806135660e+02,4.66260218864565e+03,-3.13950577878220e+03,5.28648464096576e+03,5.62868029477905e+00,1.03497526258158e+00,-4.34550089923372e+00,1.33842893855292e+03,7.18586068054696e+00,5.54010299102277e+02,-3.22392125721369e+03,6.98851874418844e+03,7.09923867294626e+00,-7.62228043837377e-01,-9.08946392544365e-01,1.33821603651031e+03,7.19766384813762e+00,4.10859188954338e+03,8.44154784314924e+01,1.70203410322268e+03,2.12902042610949e-01,1.18031675906609e-02
2.46038837634770e+06,7.71391707859070e+03,5.29696820380450e-04,6.60642149752903e+01,1.70747903167554e+02,1.86289031384458e-03,1.29489476117118e+02,7.73854189889502e+03,2.96830925951299e-03,6.61405246626747e+01,1.70670875311522e+02,1.71371235874458e+00,1.39079459600103e+01,2.46248203043197e+01,2.43861243913254e-03,7.63096873843949e-02,7.70278560314921e-02,1.71184946843073e+00,1.15581530157108e+02,4.83109597824275e+03,-3.10495199525700e+03,5.15406797595610e+03,5.50479875090058e+00,1.11876682764726e+00,-4.48147637083616e+00,1.33851682721031e+03,7.18596402474458e+00,6.01695453868910e+02,-3.22854169177404e+03,6.98247649761528e+03,7.09634643327191e+00,-7.40722564401324e-01,-9.48310114984711e-01,1.33824888883708e+03,7.19764507964977e+00,4.22940052437384e+03,1.23589696517039e+02,1.82840852165919e+03,2.67938373227480e-01,1.16810549051909e-02
2.46038837642296e+06,7.71431610596817e+03,5.05576531586534e-04,6.60648124566915e+01,1.70774315741380e+02,4.42826014467408e-03,1.25911352053612e+02,7.73856844980018e+03,2.97403429845628e-03,6.61405036905761e+01,1.70697732299428e+02,1.66735267809743e+00,1.44202077974027e+01,2.42523438320095e+01,2.46845776686975e-03,7.56912338846405e-02,7.65834419521809e-02,1.66292441795276e+00,1.11491144256209e+02,4.99579034923224e+03,-3.06781990827732e+03,5.01762416166598e+03,5.37653581729524e+00,1.20157479823880e+00,-4.61396274052643e+00,1.33860498087332e+03,7.18606787898551e+00,6.49362822973527e+02,-3.23299956820411e+03,6.97617841690921e+03,7.09317599731895e+00,-7.19193110565324e-01,-9.87638607645381e-01,1.33828301635042e+03,7.19762561394645e+00,4.34642752625871e+03,1.65179659926788e+02,1.95855425524323e+03,3.21964522897360e-01,1.15577349609337e-02
