Epoch: 2.46078e+06 | MSE: 10468.8 | RK45-a: 7721.58 | SGP4-a: 7720.01
Epoch: 2.46078e+06 | MSE: 3575.39 | RK45-a: 7721.59 | SGP4-a: 7717.69
Epoch: 2.46078e+06 | MSE: 716.855 | RK45-a: 7721.6 | SGP4-a: 7714.78
Epoch: 2.46078e+06 | MSE: 4637.49 | RK45-a: 7721.6 | SGP4-a: 7711.82
Epoch: 2.46078e+06 | MSE: 280.264 | RK45-a: 7721.59 | SGP4-a: 7709.32
Epoch: 2.46078e+06 | MSE: 4252.32 | RK45-a: 7721.58 | SGP4-a: 7707.73
Epoch: 2.46078e+06 | MSE: 461.594 | RK45-a: 7721.58 | SGP4-a: 7707.31
Epoch: 2.46078e+06 | MSE: 2321.21 | RK45-a: 7721.59 | SGP4-a: 7708.16
Epoch: 2.46078e+06 | MSE: 1061.57 | RK45-a: 7721.6 | SGP4-a: 7710.1
Epoch: 2.46078e+06 | MSE: 926.806 | RK45-a: 7721.6 | SGP4-a: 7712.82
Epoch: 2.46078e+06 | MSE: 3329.63 | RK45-a: 7721.59 | SGP4-a: 7715.82
Epoch: 2.46078e+06 | MSE: 2664.9 | RK45-a: 7721.58 | SGP4-a: 7718.58
Epoch: 2.46078e+06 | MSE: 6240.22 | RK45-a: 7721.57 | SGP4-a: 7720.61
Epoch: 2.46078e+06 | MSE: 6877.21 | RK45-a: 7721.58 | SGP4-a: 7721.55
Epoch: 2.46078e+06 | MSE: 3625 | RK45-a: 7721.6 | SGP4-a: 7721.24
Epoch: 2.46078e+06 | MSE: 8683.6 | RK45-a: 7721.61 | SGP4-a: 7719.72
Epoch: 2.46078e+06 | MSE: 1960.19 | RK45-a: 7721.59 | SGP4-a: 7717.28
Epoch: 2.46078e+06 | MSE: 268.208 | RK45-a: 7721.58 | SGP4-a: 7714.33
Epoch: 2.46078e+06 | MSE: 4686.76 | RK45-a: 7721.58 | SGP4-a: 7711.41
Epoch: 2.46078e+06 | MSE: 396.399 | RK45-a: 7721.59 | SGP4-a: 7709.02
Epoch: 2.46078e+06 | MSE: 3651.08 | RK45-a: 7721.61 | SGP4-a: 7707.58
Epoch: 2.46078e+06 | MSE: 1207.81 | RK45-a: 7721.61 | SGP4-a: 7707.36
Epoch: 2.46078e+06 | MSE: 2367.05 | RK45-a: 7721.6 | SGP4-a: 7708.38
Epoch: 2.46078e+06 | MSE: 2613.03 | RK45-a: 7721.58 | SGP4-a: 7710.47
Epoch: 2.46078e+06 | MSE: 2405.06 | RK45-a: 7721.59 | SGP4-a: 7713.26
Epoch: 2.46078e+06 | MSE: 6965.74 | RK45-a: 7721.6 | SGP4-a: 7716.26
Epoch: 2.46078e+06 | MSE: 5648.63 | RK45-a: 7721.61 | SGP4-a: 7718.94
Epoch: 2.46078e+06 | MSE: 2613 | RK45-a: 7721.61 | SGP4-a: 7720.82
Epoch: 2.46078e+06 | MSE: 5547.77 | RK45-a: 7721.6 | SGP4-a: 7721.58
Epoch: 2.46078e+06 | MSE: 1190.28 | RK45-a: 7721.59 | SGP4-a: 7721.08
Epoch: 2.46078e+06 | MSE: 5132.53 | RK45-a: 7721.59 | SGP4-a: 7719.4
Epoch: 2.46078e+06 | MSE: 1397.45 | RK45-a: 7721.6 | SGP4-a: 7716.86
Epoch: 2.46078e+06 | MSE: 782.554 | RK45-a: 7721.61 | SGP4-a: 7713.88
Epoch: 2.46078e+06 | MSE: 5958.81 | RK45-a: 7721.61 | SGP4-a: 7711
Epoch: 2.46078e+06 | MSE: 1524.26 | RK45-a: 7721.6 | SGP4-a: 7708.74
Epoch: 2.46078e+06 | MSE: 4559.15 | RK45-a: 7721.6 | SGP4-a: 7707.47
Epoch: 2.46078e+06 | MSE: 2646.71 | RK45-a: 7721.6 | SGP4-a: 7707.44
Epoch: 2.46078e+06 | MSE: 3864.8 | RK45-a: 7721.6 | SGP4-a: 7708.63
Epoch: 2.46078e+06 | MSE: 4481.82 | RK45-a: 7721.61 | SGP4-a: 7710.85
Epoch: 2.46078e+06 | MSE: 4934.2 | RK45-a: 7721.61 | SGP4-a: 7713.71
Epoch: 2.46078e+06 | MSE: 10884.1 | RK45-a: 7721.6 | SGP4-a: 7716.69
Epoch: 2.46078e+06 | MSE: 3325.12 | RK45-a: 7721.6 | SGP4-a: 7719.28
Epoch: 2.46078e+06 | MSE: 971.564 | RK45-a: 7721.6 | SGP4-a: 7721.01
Epoch: 2.46078e+06 | MSE: 4351.03 | RK45-a: 7721.61 | SGP4-a: 7721.59
Epoch: 2.46078e+06 | MSE: 361.942 | RK45-a: 7721.61 | SGP4-a: 7720.9
Epoch: 2.46078e+06 | MSE: 3453.16 | RK45-a: 7721.61 | SGP4-a: 7719.07
Epoch: 2.46078e+06 | MSE: 2298.52 | RK45-a: 7721.6 | SGP4-a: 7716.43
Epoch: 2.46078e+06 | MSE: 2486.88 | RK45-a: 7721.61 | SGP4-a: 7713.43
Epoch: 2.46078e+06 | MSE: 7466.17 | RK45-a: 7721.61 | SGP4-a: 7710.62
Epoch: 2.46078e+06 | MSE: 3581.08 | RK45-a: 7721.62 | SGP4-a: 7708.47
Epoch: 2.46078e+06 | MSE: 6384.66 | RK45-a: 7721.61 | SGP4-a: 7707.38
Epoch: 2.46078e+06 | MSE: 4614.54 | RK45-a: 7721.61 | SGP4-a: 7707.54
Epoch: 2.46078e+06 | MSE: 6025.6 | RK45-a: 7721.6 | SGP4-a: 7708.91
Epoch: 2.46078e+06 | MSE: 6065.99 | RK45-a: 7721.62 | SGP4-a: 7711.25
Epoch: 2.46078e+06 | MSE: 4551.59 | RK45-a: 7721.63 | SGP4-a: 7714.16
Epoch: 2.46078e+06 | MSE: 8648.57 | RK45-a: 7721.63 | SGP4-a: 7717.11
Epoch: 2.46078e+06 | MSE: 2083.9 | RK45-a: 7721.62 | SGP4-a: 7719.61
Epoch: 2.46078e+06 | MSE: 1161.66 | RK45-a: 7721.61 | SGP4-a: 7721.18
Epoch: 2.46078e+06 | MSE: 2848.21 | RK45-a: 7721.61 | SGP4-a: 7721.57
Epoch: 2.46078e+06 | MSE: 367.268 | RK45-a: 7721.62 | SGP4-a: 7720.7
Epoch: 2.46078e+06 | MSE: 4965.7 | RK45-a: 7721.63 | SGP4-a: 7718.71
Epoch: 2.46078e+06 | MSE: 1679.94 | RK45-a: 7721.63 | SGP4-a: 7715.99
Epoch: 2.46078e+06 | MSE: 3125.06 | RK45-a: 7721.62 | SGP4-a: 7712.98
Epoch: 2.46078e+06 | MSE: 6521.25 | RK45-a: 7721.61 | SGP4-a: 7710.24
Epoch: 2.46078e+06 | MSE: 3765.53 | RK45-a: 7721.61 | SGP4-a: 7708.24
Epoch: 2.46078e+06 | MSE: 8714.45 | RK45-a: 7721.62 | SGP4-a: 7707.33
Epoch: 2.46078e+06 | MSE: 4696.18 | RK45-a: 7721.63 | SGP4-a: 7707.67
Epoch: 2.46078e+06 | MSE: 8037.49 | RK45-a: 7721.63 | SGP4-a: 7709.2
Epoch: 2.46078e+06 | MSE: 6391.41 | RK45-a: 7721.62 | SGP4-a: 7711.66
Epoch: 2.46078e+06 | MSE: 3690.7 | RK45-a: 7721.61 | SGP4-a: 7714.61
Epoch: 2.46078e+06 | MSE: 6717.21 | RK45-a: 7721.61 | SGP4-a: 7717.53
Epoch: 2.46078e+06 | MSE: 1198.55 | RK45-a: 7721.62 | SGP4-a: 7719.91
