Epoch,Position_X_km,Position_Y_km,Position_Z_km,Velocity_X_kmps,Velocity_Y_kmps,Velocity_Z_kmps
2460387.965103,-4952.226830,-718.766700,5873.311001,-3.575507,-5.065645,-3.631070
2460387.965110,-5078.760956,-901.604317,5738.624816,-3.418362,-5.040260,-3.813386
2460387.965117,-5199.538499,-1083.420002,5597.419662,-3.257326,-5.009160,-3.991390
2460387.965124,-5314.421915,-1264.007539,5449.855251,-3.092579,-4.972377,-4.164878
2460387.965131,-5423.280304,-1443.162057,5296.098541,-2.924307,-4.929953,-4.333654
2460387.965138,-5525.989553,-1620.680260,5136.323558,-2.752700,-4.881934,-4.497524
2460387.965145,-5622.432493,-1796.360660,4970.711197,-2.577951,-4.828373,-4.656300
2460387.965152,-5712.499028,-1970.003808,4799.449028,-2.400259,-4.769329,-4.809803
2460387.965159,-5796.086269,-2141.412517,4622.731088,-2.219824,-4.704869,-4.957855
2460387.965166,-5873.098661,-2310.392093,4440.757663,-2.036850,-4.635065,-5.100287
2460387.965173,-5943.448090,-2476.750555,4253.735065,-1.851545,-4.559993,-5.236935
2460387.965180,-6007.053997,-2640.298860,4061.875405,-1.664119,-4.479740,-5.367644
2460387.965187,-6063.843470,-2800.851117,3865.396350,-1.474783,-4.394394,-5.492261
2460387.965194,-6113.751337,-2958.224802,3664.520881,-1.283755,-4.304052,-5.610644
2460387.965201,-6156.720246,-3112.240973,3459.477043,-1.091249,-4.208815,-5.722657
2460387.965208,-6192.700736,-3262.724476,3250.497681,-0.897487,-4.108792,-5.828171
2460387.965215,-6221.651299,-3409.504147,3037.820183,-0.702687,-4.004095,-5.927063
2460387.965222,-6243.538433,-3552.413013,2821.686205,-0.507073,-3.894843,-6.019219
2460387.965229,-6258.336689,-3691.288488,2602.341394,-0.310867,-3.781159,-6.104533
2460387.965236,-6266.028700,-3825.972560,2380.035112,-0.114293,-3.663173,-6.182907
2460387.965243,-6266.605209,-3956.311979,2155.020145,0.082425,-3.541019,-6.254249
2460387.965250,-6260.065086,-4082.158434,1927.552416,0.279062,-3.414835,-6.318478
2460387.965257,-6246.415327,-4203.368729,1697.890688,0.475393,-3.284766,-6.375517
2460387.965264,-6225.671057,-4319.804949,1466.296265,0.671193,-3.150960,-6.425302
2460387.965271,-6197.855508,-4431.334622,1233.032694,0.866240,-3.013569,-6.467775
2460387.965278,-6163.000004,-4537.830874,998.365452,1.060310,-2.872750,-6.502887
2460387.965285,-6121.143917,-4639.172582,762.561648,1.253180,-2.728664,-6.530596
2460387.965292,-6072.334630,-4735.244507,525.889706,1.444631,-2.581476,-6.550871
2460387.965299,-6016.627484,-4825.937438,288.619054,1.634443,-2.431353,-6.563688
2460387.965306,-5954.085710,-4911.148313,51.019817,1.822398,-2.278469,-6.569033
2460387.965313,-5884.780358,-4990.780341,-186.637507,2.008283,-2.122996,-6.566899
2460387.965320,-5808.790219,-5064.743117,-424.082353,2.191884,-1.965114,-6.557289
2460387.965327,-5726.201726,-5132.952722,-661.044406,2.372991,-1.805004,-6.540214
2460387.965334,-5637.108859,-5195.331823,-897.253920,2.551397,-1.642848,-6.515694
2460387.965341,-5541.613031,-5251.809761,-1132.442022,2.726899,-1.478831,-6.483758
2460387.965348,-5439.822970,-5302.322630,-1366.341035,2.899295,-1.313143,-6.444442
2460387.965354,-5331.854594,-5346.813351,-1598.684779,3.068390,-1.145972,-6.397794
2460387.965361,-5217.830868,-5385.231737,-1829.208887,3.233990,-0.977510,-6.343866
2460387.965368,-5097.881665,-5417.534544,-2057.651105,3.395906,-0.807948,-6.282723
2460387.965375,-4972.143611,-5443.685522,-2283.751600,3.553955,-0.637482,-6.214433
2460387.965382,-4840.759921,-5463.655455,-2507.253257,3.707955,-0.466306,-6.139078
2460387.965389,-4703.880235,-5477.422184,-2727.901975,3.857733,-0.294615,-6.056744
2460387.965396,-4561.660437,-5484.970636,-2945.446960,4.003117,-0.122606,-5.967527
2460387.965403,-4414.262477,-5486.292835,-3159.641014,4.143943,0.049525,-5.871530
2460387.965410,-4261.854175,-5481.387902,-3370.240815,4.280052,0.221583,-5.768863
2460387.965417,-4104.609027,-5470.262060,-3577.007196,4.411288,0.393371,-5.659647
2460387.965424,-3942.706002,-5452.928611,-3779.705417,4.537505,0.564693,-5.544006
2460387.965431,-3776.329331,-5429.407926,-3978.105433,4.658558,0.735356,-5.422074
2460387.965438,-3605.668294,-5399.727408,-4171.982150,4.774313,0.905163,-5.293992
2460387.965445,-3430.916998,-5363.921459,-4361.115684,4.884637,1.073924,-5.159906
2460387.965452,-3252.274152,-5322.031434,-4545.291606,4.989409,1.241446,-5.019972
2460387.965459,-3069.942836,-5274.105588,-4724.301182,5.088509,1.407539,-4.874349
2460387.965466,-2884.130268,-5220.199017,-4897.941607,5.181827,1.572016,-4.723205
2460387.965473,-2695.047561,-5160.373586,-5066.016229,5.269258,1.734690,-4.566713
2460387.965480,-2502.909487,-5094.697855,-5228.334771,5.350705,1.895377,-4.405052
2460387.965487,-2307.934222,-5023.246995,-5384.713537,5.426077,2.053896,-4.238406
2460387.965494,-2110.343104,-4946.102698,-5534.975618,5.495290,2.210068,-4.066967
2460387.965501,-1910.360375,-4863.353078,-5678.951085,5.558268,2.363717,-3.890929
